	model	mparms	trsamples	bsize	lr	gamma	maxepochs	avgtestloss
78	Linear1_Dropout	(0.1,)	600	10	1.0	0.3	10	0.04898606963455677
79	Linear1_Dropout	(0.1,)	600	10	1.0	0.3	100	0.048985966891050337
80	Linear1_Dropout	(0.1,)	600	10	1.0	0.3	250	0.048985966891050337
81	Linear1_Dropout	(0.1,)	600	10	1.0	0.7	10	0.01984781466424465
82	Linear1_Dropout	(0.1,)	600	10	1.0	0.7	100	0.019646564349532127
83	Linear1_Dropout	(0.1,)	600	10	1.0	0.7	250	0.019646564349532127
84	Linear1_Dropout	(0.1,)	600	20	0.5	0.3	10	0.01884580835700035
85	Linear1_Dropout	(0.1,)	600	20	0.5	0.3	100	0.01884580209851265
86	Linear1_Dropout	(0.1,)	600	20	0.5	0.3	250	0.01884580209851265
87	Linear1_Dropout	(0.1,)	600	20	0.5	0.7	10	0.01780582845211029
88	Linear1_Dropout	(0.1,)	600	20	0.5	0.7	100	0.01776234358549118
89	Linear1_Dropout	(0.1,)	600	20	0.5	0.7	250	0.01776234358549118
90	Linear1_Dropout	(0.1,)	600	20	1.0	0.3	10	0.015418863594532014
91	Linear1_Dropout	(0.1,)	600	20	1.0	0.3	100	0.015418863594532014
92	Linear1_Dropout	(0.1,)	600	20	1.0	0.3	250	0.015418863594532014
93	Linear1_Dropout	(0.1,)	600	20	1.0	0.7	10	0.015716393738985063
94	Linear1_Dropout	(0.1,)	600	20	1.0	0.7	100	0.015761661678552627
95	Linear1_Dropout	(0.1,)	600	20	1.0	0.7	250	0.015761661678552627
96	Linear1_Dropout	(0.1,)	600	50	0.5	0.3	10	0.01568257063627243
97	Linear1_Dropout	(0.1,)	600	50	0.5	0.3	100	0.01568256825208664
98	Linear1_Dropout	(0.1,)	600	50	0.5	0.3	250	0.01568256825208664
99	Linear1_Dropout	(0.1,)	600	50	0.5	0.7	10	0.01616201311349869
100	Linear1_Dropout	(0.1,)	600	50	0.5	0.7	100	0.016166965663433074
101	Linear1_Dropout	(0.1,)	600	50	0.5	0.7	250	0.016166965663433074
102	Linear1_Dropout	(0.1,)	600	50	1.0	0.3	10	0.0165070977807045
103	Linear1_Dropout	(0.1,)	600	50	1.0	0.3	100	0.016507094204425813
104	Linear1_Dropout	(0.1,)	600	50	1.0	0.3	250	0.016507094204425813
105	Linear1_Dropout	(0.1,)	600	50	1.0	0.7	10	0.016304690837860108
106	Linear1_Dropout	(0.1,)	600	50	1.0	0.7	100	0.016282926201820373
107	Linear1_Dropout	(0.1,)	600	50	1.0	0.7	250	0.016282926201820373
108	Linear1_Dropout	(0.1,)	6000	10	0.5	0.3	10	0.015276255212724209
109	Linear1_Dropout	(0.1,)	6000	10	0.5	0.3	100	0.015276258535683155
110	Linear1_Dropout	(0.1,)	6000	10	0.5	0.3	250	0.015276258535683155
111	Linear1_Dropout	(0.1,)	6000	10	0.5	0.7	10	0.015108849946409464
112	Linear1_Dropout	(0.1,)	6000	10	0.5	0.7	100	0.01509987971931696
113	Linear1_Dropout	(0.1,)	6000	10	0.5	0.7	250	0.01509987971931696
114	Linear1_Dropout	(0.1,)	6000	10	1.0	0.3	10	0.015237095613032579
115	Linear1_Dropout	(0.1,)	6000	10	1.0	0.3	100	0.015237059015780686
116	Linear1_Dropout	(0.1,)	6000	10	1.0	0.3	250	0.015237059015780686
117	Linear1_Dropout	(0.1,)	6000	10	1.0	0.7	10	0.014418768472969532
118	Linear1_Dropout	(0.1,)	6000	10	1.0	0.7	100	0.014818806611001491
119	Linear1_Dropout	(0.1,)	6000	10	1.0	0.7	250	0.014818806611001491
120	Linear1_Dropout	(0.1,)	6000	20	0.5	0.3	10	0.015193892106413842
121	Linear1_Dropout	(0.1,)	6000	20	0.5	0.3	100	0.015193893820047379
122	Linear1_Dropout	(0.1,)	6000	20	0.5	0.3	250	0.015193893820047379
123	Linear1_Dropout	(0.1,)	6000	20	0.5	0.7	10	0.015267008155584336
124	Linear1_Dropout	(0.1,)	6000	20	0.5	0.7	100	0.015336478047072888
125	Linear1_Dropout	(0.1,)	6000	20	0.5	0.7	250	0.015336478047072888
126	Linear1_Dropout	(0.1,)	6000	20	1.0	0.3	10	0.016030764162540435
127	Linear1_Dropout	(0.1,)	6000	20	1.0	0.3	100	0.016030739314854145
128	Linear1_Dropout	(0.1,)	6000	20	1.0	0.3	250	0.016030739314854145
129	Linear1_Dropout	(0.1,)	6000	20	1.0	0.7	10	0.014947105146944523
130	Linear1_Dropout	(0.1,)	6000	20	1.0	0.7	100	0.015367100812494755
131	Linear1_Dropout	(0.1,)	6000	20	1.0	0.7	250	0.015367100812494755
132	Linear1_Dropout	(0.1,)	6000	50	0.5	0.3	10	0.0155512675344944
133	Linear1_Dropout	(0.1,)	6000	50	0.5	0.3	100	0.015551267266273499
134	Linear1_Dropout	(0.1,)	6000	50	0.5	0.3	250	0.015551267266273499
135	Linear1_Dropout	(0.1,)	6000	50	0.5	0.7	10	0.015514427095651626
136	Linear1_Dropout	(0.1,)	6000	50	0.5	0.7	100	0.015535569727420807
137	Linear1_Dropout	(0.1,)	6000	50	0.5	0.7	250	0.015535569727420807
138	Linear1_Dropout	(0.1,)	6000	50	1.0	0.3	10	0.015315445572137832
139	Linear1_Dropout	(0.1,)	6000	50	1.0	0.3	100	0.015315440535545349
140	Linear1_Dropout	(0.1,)	6000	50	1.0	0.3	250	0.015315440535545349
141	Linear1_Dropout	(0.1,)	6000	50	1.0	0.7	10	0.015536222785711288
142	Linear1_Dropout	(0.1,)	6000	50	1.0	0.7	100	0.015526343762874604
143	Linear1_Dropout	(0.1,)	6000	50	1.0	0.7	250	0.015526343762874604
144	Linear1_Dropout	(0.5,)	600	10	0.5	0.3	10	0.14552789390087129
145	Linear1_Dropout	(0.5,)	600	10	0.5	0.3	100	0.14552781224250794
146	Linear1_Dropout	(0.5,)	600	10	0.5	0.3	250	0.14552781224250794
147	Linear1_Dropout	(0.5,)	600	10	0.5	0.7	10	0.11717842727899551
148	Linear1_Dropout	(0.5,)	600	10	0.5	0.7	100	0.11687495827674865
149	Linear1_Dropout	(0.5,)	600	10	0.5	0.7	250	0.11687495827674865
150	Linear1_Dropout	(0.5,)	600	10	1.0	0.3	10	0.10874638080596924
151	Linear1_Dropout	(0.5,)	600	10	1.0	0.3	100	0.10874641537666321
152	Linear1_Dropout	(0.5,)	600	10	1.0	0.3	250	0.10874641537666321
153	Linear1_Dropout	(0.5,)	600	10	1.0	0.7	10	0.10699238985776902
154	Linear1_Dropout	(0.5,)	600	10	1.0	0.7	100	0.10693031191825866
155	Linear1_Dropout	(0.5,)	600	10	1.0	0.7	250	0.10693031191825866
156	Linear1_Dropout	(0.5,)	600	20	0.5	0.3	10	0.10693720638751984
157	Linear1_Dropout	(0.5,)	600	20	0.5	0.3	100	0.10693719625473022
158	Linear1_Dropout	(0.5,)	600	20	0.5	0.3	250	0.10693719625473022
159	Linear1_Dropout	(0.5,)	600	20	0.5	0.7	10	0.10638770163059234
160	Linear1_Dropout	(0.5,)	600	20	0.5	0.7	100	0.10641533374786377
161	Linear1_Dropout	(0.5,)	600	20	0.5	0.7	250	0.10641533374786377
162	Linear1_Dropout	(0.5,)	600	20	1.0	0.3	10	0.10538505256175995
163	Linear1_Dropout	(0.5,)	600	20	1.0	0.3	100	0.10538506507873535
164	Linear1_Dropout	(0.5,)	600	20	1.0	0.3	250	0.10538506507873535
165	Linear1_Dropout	(0.5,)	600	20	1.0	0.7	10	0.10732938051223755
166	Linear1_Dropout	(0.5,)	600	20	1.0	0.7	100	0.10730923414230346
167	Linear1_Dropout	(0.5,)	600	20	1.0	0.7	250	0.10730923414230346
168	Linear1_Dropout	(0.5,)	600	50	0.5	0.3	10	0.10759752035140992
169	Linear1_Dropout	(0.5,)	600	50	0.5	0.3	100	0.1075975227355957
170	Linear1_Dropout	(0.5,)	600	50	0.5	0.3	250	0.1075975227355957
171	Linear1_Dropout	(0.5,)	600	50	0.5	0.7	10	0.10726752758026123
172	Linear1_Dropout	(0.5,)	600	50	0.5	0.7	100	0.10724442481994628
173	Linear1_Dropout	(0.5,)	600	50	0.5	0.7	250	0.10724442481994628
174	Linear1_Dropout	(0.5,)	600	50	1.0	0.3	10	0.10564825296401978
175	Linear1_Dropout	(0.5,)	600	50	1.0	0.3	100	0.10564826011657714
176	Linear1_Dropout	(0.5,)	600	50	1.0	0.3	250	0.10564826011657714
177	Linear1_Dropout	(0.5,)	600	50	1.0	0.7	10	0.10687713384628296
178	Linear1_Dropout	(0.5,)	600	50	1.0	0.7	100	0.1068376874923706
179	Linear1_Dropout	(0.5,)	600	50	1.0	0.7	250	0.1068376874923706
180	Linear1_Dropout	(0.5,)	6000	10	0.5	0.3	10	0.10679833108186722
181	Linear1_Dropout	(0.5,)	6000	10	0.5	0.3	100	0.10679829826951028
182	Linear1_Dropout	(0.5,)	6000	10	0.5	0.3	250	0.10679829826951028
